,time,tail_number,location,speed,soc,flight_direction,event,latitude,longitude,altitude
115,1686874933309,aircraft12,Stockton_Richmond WP1,45.0,73.17999999999999,STOCKTON_RICHMOND,climb_end,37.928085,-121.357726,450.0
116,1686874946030,aircraft9,SJ_SFO WP3,67.0,71.29,SJ_SFO,cruise,37.395281,-122.100789,450.0
117,1686874950586,aircraft3,RICHMOND_SFO_waypoint_8,67.0,71.27000000000002,RICHMOND_SFO,cruise,37.71963,-122.358099,450.0
118,1686874960309,aircraft12,Stockton_Richmond WP2,56.0,72.85,STOCKTON_RICHMOND,cruise,37.933828,-121.373177,450.0
119,1686874968422,aircraft5,SFO_PARK17,0.0,80.0,SFO_SJ,aircraft_allocation,37.6218721736357,-122.376449814136,0.0
120,1686874985553,aircraft10,Split SJ_Richmond and SJ_Stockton WP4,67.0,72.24000000000001,SJ_RICHMOND,cruise,37.480574,-121.901072,450.0
121,1686874990309,aircraft12,Stockton_Richmond WP3,67.0,72.41,STOCKTON_RICHMOND,cruise,37.947246,-121.389075,450.0
122,1686874992781,aircraft6,SFO_PARK16,0.0,80.0,SFO_STOCKTON,aircraft_allocation,37.6219212144522,-122.376155180287,0.0
123,1686875010814,aircraft11,Stockton_SJ_SFO WP4,67.0,64.56,STOCKTON_SJ,cruise,37.727471,-121.471301,450.0
124,1686875027276,aircraft4,Merge Richmond_SJ and SFO_SJ,67.0,71.02000000000001,SFO_SJ,cruise,37.541639,-122.030063,450.0
125,1686875027309,aircraft12,Stockton_Richmond WP4,67.0,71.86999999999999,STOCKTON_RICHMOND,cruise,37.959897,-121.412586,450.0
126,1686875029586,aircraft3,RICHMOND_SFO_waypoint_9,67.0,69.85000000000002,RICHMOND_SFO,cruise,37.68048,-122.392684,450.0
127,1686875039309,aircraft12,Stockton_Richmond WP5,67.0,71.68999999999998,STOCKTON_RICHMOND,cruise,37.963044,-121.421204,450.0
128,1686875088416,aircraft5,SFO_PARK17,0.0,80.0,SFO_SJ,pushback,37.6218721736357,-122.376449814136,0.0
129,1686875097030,aircraft9,SJ_SFO WP4,67.0,68.56,SJ_SFO,cruise,37.450756,-122.192122,450.0
130,1686875104026,aircraft7,SFO_PARK15,0.0,80.0,SFO_RICHMOND,aircraft_allocation,37.6218366613002,-122.375959825235,0.0
131,1686875108479,aircraft0,SFO_PARK11,0.0,66.33000000000003,SFO_SJ,aircraft_allocation,37.6216274502736,-122.37623209125,0.0
132,1686875109586,aircraft3,RICHMOND_SFO_waypoint_10,67.0,68.41000000000003,RICHMOND_SFO,cruise,37.634036,-122.409975,450.0
133,1686875118934,aircraft5,SFO_FATO1,0.0,80.0,SFO_SJ,fato_arrival,37.6213780437358,-122.376427342586,0.0
134,1686875133934,aircraft5,SFO_hover_fix,0.0,78.79,SFO_SJ,hover_climb_end,37.621378,-122.376427,15.0
135,1686875135026,aircraft2,Richmond_Stockton WP6,67.0,69.23,RICHMOND_STOCKTON,cruise,37.967505,-122.028157,450.0
136,1686875138586,aircraft3,RICHMOND_SFO_waypoint_11,67.0,67.89000000000003,RICHMOND_SFO,cruise,37.618964,-122.399106,106.68
137,1686875153934,aircraft5,SFO_departure_fix,18.0,77.79,SFO_SJ,climb_transition_end,37.62357,-122.367587,45.72
138,1686875153935,aircraft6,SFO_PARK16,0.0,80.0,SFO_STOCKTON,pushback,37.6219212144522,-122.376155180287,0.0
139,1686875154309,aircraft12,Stockton_Richmond WP6,67.0,69.98999999999998,STOCKTON_RICHMOND,cruise,37.979487,-121.506277,450.0
140,1686875154586,aircraft3,SFO_approach_fix,36.0,67.85000000000002,RICHMOND_SFO,final_approach_fix_arrival,37.61423,-122.378428,45.72
141,1686875170553,aircraft10,SJ_Richmond WP5,67.0,68.9,SJ_RICHMOND,cruise,37.564118,-121.994214,450.0
142,1686875173934,aircraft5,SFO_SJ_waypoint_1,45.0,77.10000000000001,SFO_SJ,climb_end,37.620013,-122.266036,106.68
